Id,IsActive,ScheduleId,WeekDayId
1,1,1,1
2,1,1,2
3,1,1,3
4,1,1,4
5,1,1,5
6,1,2,6
7,1,2,7
8,1,3,1
9,1,3,2
10,1,3,3
11,1,3,4
12,1,3,5
13,1,4,6
14,1,4,7
15,1,5,1
16,1,5,2
17,1,5,3
18,1,5,4
19,1,5,5
20,1,6,6
21,1,6,7
22,1,7,1
23,1,7,2
24,1,7,3
25,1,7,4
26,1,7,5
27,1,8,6
28,1,8,7
29,1,9,1
30,1,9,2
31,1,9,3
32,1,9,4
33,1,9,5
34,1,10,6
35,1,10,7
36,1,11,1
37,1,11,2
38,1,11,3
39,1,11,4
40,1,11,5
41,1,12,6
42,1,12,7
43,1,13,1
44,1,13,2
45,1,13,3
46,1,13,4
47,1,13,5
48,1,14,6
49,1,14,7
50,1,15,1
51,1,15,2
52,1,15,3
53,1,15,4
54,1,15,5
55,1,16,6
56,1,16,7
57,1,17,1
58,1,17,2
59,1,17,3
60,1,17,4
61,1,17,5
62,1,18,6
63,1,18,7
64,1,19,1
65,1,19,2
66,1,19,3
67,1,19,4
68,1,19,5
69,1,20,6
70,1,20,7